wallet,lamports,sol,tx_count,first_tx,last_tx,pct_of_total
6m7p3aBha72XeJxxZZBF1vcRnjjQ8ieLaartb5VQaTHg,50000000000,50.000000000,1,1730128228,1730128228,0.126172
74uRnCnZ431LEx7TWygAqrFhXrXqvGZQt36PH1YAysMG,50000000000,50.000000000,2,1729896685,1730048158,0.126172
75dm3xm4mHpQ7GEbSkk1u9coKSRhsuiVsw2xyxZEL1kn,50000000000,50.000000000,1,1730094137,1730094137,0.126172
7KHUh91XQ2ffajiLugdnRnkeNvMjtQNDQvRVWpvkUbdW,50000000000,50.000000000,1,1730121638,1730121638,0.126172
7Mpo21aZATk3kevkUSRMtXyiE3Jc7GxMCk6PMRtgDv7k,50000000000,50.000000000,1,1730072050,1730072050,0.126172
7mt2r6mHiUUHGo28VebRaaUXS21BNUWYCXtR9yfKvgfZ,50000000000,50.000000000,1,1730038487,1730038487,0.126172
8dNbEJ9DQygPwej1E9Pck19r4weZfeNmDyZjR7GQhrtj,50000000000,50.000000000,1,1730131292,1730131292,0.126172
8Ficp2kLc9RQJq1Qj6TWmmmepvi15ezMM7BapnqFSF1H,50000000000,50.000000000,2,1730031002,1730031076,0.126172
8JW5Nex5sb8SHaUbgpwQdQ66mkYfmKcxfgYjDSnNTrjH,50000000000,50.000000000,1,1729888355,1729888355,0.126172
8vgWMfTj4Pse68cLhpktt78qwKvR2W2qMC4SwjHf4Pwo,50000000000,50.000000000,1,1729913338,1729913338,0.126172
9ADeGr98J25EuGQwkKdv1sdeR3USaTHuovarpThJkm3n,50000000000,50.000000000,2,1729875449,1729875533,0.126172
9xUeXekimHZfriCHFSfUwfVKYQmuk9mfsnWB48JJmEBZ,50000000000,50.000000000,1,1730104326,1730104326,0.126172
9yYjPLaqUJb5T1uWdmLktETuWYvnozXR3JLpLP9dnoR1,50000000000,50.000000000,1,1730127088,1730127088,0.126172
AMTmcPLHDQ6NU8AVjVkGqN15HyNkTsnAPREGodLCMpVS,50000000000,50.000000000,1,1730067896,1730067896,0.126172
BKSXx2D2RJYBM7ZL5aTnA8TCW5P3DhG3VYFk1ZsguAKD,50000000000,50.000000000,1,1730001407,1730001407,0.126172
BkUM4T1P4uezLGrYVDcCDdV8rG3mhczs5VMfPkAUTTpJ,50000000000,50.000000000,1,1729895330,1729895330,0.126172
BpesCqUSdho3diantanbsEghexBsFxheWXkbCV9jDyNn,50000000000,50.000000000,1,1730093065,1730093065,0.126172
CLx2aNLxPpF35BNicD61GrtC8dczzoEXFmPcxK78feVo,50000000000,50.000000000,1,1730131334,1730131334,0.126172
Cx2cR8qMoCyuELwrG5LVwExxdzRwJq7jUhcDXGx8z6U5,50000000000,50.000000000,2,1729970526,1730044119,0.126172
D2gKXBA4AnqQPbWMN889xzzV1A553kP6ymcYcH4vrszr,50000000000,50.000000000,1,1730122153,1730122153,0.126172
DyHK4AGtiTJ652eL4KpbemFKgW4iLy4Az3BGJeXNzvtT,50000000000,50.000000000,1,1730128202,1730128202,0.126172
DzyCokHkgayXZArDeiiWZAEE4bwwtAS7c3PcacM3JxJG,50000000000,50.000000000,1,1730092015,1730092015,0.126172
E97JW7BKv7VwdZfCdqwhboAmCCSJbFJSx6HhAmNDNJsc,50000000000,50.000000000,1,1730130272,1730130272,0.126172
EceAXcGP69ZKCnXougTSpuHoGrLZT7e9hkxXmDPx8Qcd,50000000000,50.000000000,3,1729873114,1730128191,0.126172
EpUcJAvefLmATS9rzkad2SaYvRT36XswYxVxG3bQT7HH,50000000000,50.000000000,2,1729891579,1729999162,0.126172
F4nYSP91CkxabBLdW4aS7W3VJQWeWLhF1Mob2aZWcm72,50000000000,50.000000000,1,1729965140,1729965140,0.126172
FhkBC76yAbXZpBkSboQXmXYoBCRiLJJR4aQ5BcghZroo,50000000000,50.000000000,1,1730104410,1730104410,0.126172
FpHnDe94oicTXB33CWYF3KExc2JCZ8PowTypn59v4mJn,50000000000,50.000000000,1,1730067266,1730067266,0.126172
FuYZFeZY612xB1GgVCvRT1btsNAszXq7QXF9wetH3j1e,50000000000,50.000000000,1,1729878334,1729878334,0.126172
HPQTF8okxV5vqRZEu6pFBwdevNkmCCrdpEgfVZ6UZvyb,50000000000,50.000000000,1,1730106573,1730106573,0.126172
HzN2qpkBAKf1tSdJFc3GuGASzCpGmiFWoGkn8G2cdjYg,50000000000,50.000000000,1,1730126467,1730126467,0.126172
J31SLJBmXYQoh5JBAq1BMbvRizbCAhuyQhoFMKy2R1aW,50000000000,50.000000000,2,1729887502,1730064749,0.126172
JCygPfEL6oBAFJWHNvXd5xkgaRTd97LCujAprdJkXQEJ,50000000000,50.000000000,1,1730082941,1730082941,0.126172
JDycKLJRdq4HB4YAo3NmETBBHaAtEWWzwPzGRbt8cyJV,50000000000,50.000000000,1,1730127060,1730127060,0.126172
jyVzVKsajeNx3t49P9cWS4MPtFnpxHSKEUmEyJpyWbs,50000000000,50.000000000,1,1730094038,1730094038,0.126172
WdJsFfcpgywEhyHnfRZ116twBm1qgcUrDDBbL6Ykc7e,50000000000,50.000000000,1,1730047572,1730047572,0.126172
